epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.63992,1.08458,3.11649,1.21107,0.00722,0.41346,0.15646,0.10259,1.20239,3.41123,1.23326,0.00044987,0.00044987,0.00044987
2,12.193,1.24864,2.38045,1.27246,0.97493,0.04063,0.17043,0.09688,1.30899,3.31079,1.29708,0.000895639,0.000895639,0.000895639
3,15.8055,1.27668,2.35388,1.28426,0.6035,0.10561,0.17577,0.0944,1.41828,3.21251,1.56698,0.00130997,0.00130997,0.00130997
4,20.2841,1.28705,2.14952,1.318,0.49911,0.25303,0.33923,0.16482,1.5616,2.8331,1.64514,0.00128753,0.00128753,0.00128753
5,24.9151,1.26529,2.18443,1.31153,0.41266,0.34218,0.39308,0.21929,1.54933,2.62858,1.61357,0.00124037,0.00124037,0.00124037
6,28.5837,1.29531,2.10375,1.26459,0.45052,0.41754,0.47622,0.26159,1.45404,2.34088,1.42725,0.00119322,0.00119322,0.00119322
7,32.1782,1.19758,1.8998,1.2416,0.52493,0.45029,0.47051,0.27508,1.367,2.20152,1.36463,0.00114606,0.00114606,0.00114606
8,37.7386,1.15554,1.94962,1.28224,0.54566,0.42024,0.47251,0.28194,1.49922,2.16305,1.54539,0.0010989,0.0010989,0.0010989
9,41.3433,1.16853,1.82673,1.25148,0.45009,0.4361,0.46325,0.28107,1.45293,2.27888,1.53362,0.00105174,0.00105174,0.00105174
10,44.8212,1.14006,1.76303,1.24682,0.48746,0.40452,0.46117,0.27705,1.40804,2.24095,1.44828,0.00100459,0.00100459,0.00100459
11,49.2666,1.16164,1.71624,1.2225,0.47897,0.47919,0.47411,0.29369,1.40296,2.30999,1.46755,0.00095743,0.00095743,0.00095743
12,54.3223,1.08699,1.73533,1.19982,0.48186,0.49069,0.49049,0.30839,1.42601,2.27766,1.47831,0.000910273,0.000910273,0.000910273
13,57.6972,1.1825,1.62657,1.21341,0.59685,0.50095,0.51451,0.30873,1.41649,2.08078,1.43962,0.000863116,0.000863116,0.000863116
14,61.2563,1.11827,1.55002,1.16426,0.61795,0.47387,0.50724,0.30392,1.39559,1.93166,1.41769,0.000815959,0.000815959,0.000815959
15,65.1108,1.08796,1.5312,1.1816,0.5296,0.46988,0.48904,0.30354,1.36559,1.92333,1.40586,0.000768802,0.000768802,0.000768802
16,70.6522,1.04703,1.55999,1.18385,0.47102,0.54121,0.49985,0.3134,1.3338,1.88645,1.3849,0.000721645,0.000721645,0.000721645
17,74.1518,1.01889,1.44504,1.13549,0.60362,0.49962,0.53565,0.33313,1.30418,1.82885,1.31913,0.000674488,0.000674488,0.000674488
18,77.5546,0.96416,1.37414,1.12698,0.60595,0.54196,0.55013,0.33838,1.32466,1.75714,1.36161,0.000627331,0.000627331,0.000627331
19,82.6312,1.03544,1.40889,1.13589,0.58107,0.57536,0.56102,0.34113,1.32885,1.73138,1.36528,0.000580174,0.000580174,0.000580174
20,86.6101,1.00086,1.35954,1.1235,0.57559,0.59413,0.56135,0.3285,1.33476,1.74134,1.35713,0.000533017,0.000533017,0.000533017
21,91.825,0.97162,1.70986,1.10088,0.56723,0.55514,0.54589,0.32188,1.37447,1.73592,1.37525,0.00048586,0.00048586,0.00048586
22,96.2151,0.92652,1.65525,1.03997,0.56392,0.52807,0.54044,0.32379,1.36843,1.76219,1.37054,0.000438703,0.000438703,0.000438703
23,100.698,0.92884,1.67716,1.09907,0.56534,0.57891,0.54873,0.3262,1.34915,1.90652,1.36533,0.000391546,0.000391546,0.000391546
24,104.024,0.95551,1.65289,1.07223,0.62442,0.55367,0.55581,0.33223,1.35623,1.88229,1.38669,0.000344389,0.000344389,0.000344389
25,107.382,0.89441,1.55103,1.06001,0.65618,0.56126,0.57298,0.3446,1.31479,1.75449,1.35985,0.000297232,0.000297232,0.000297232
26,111.792,0.8374,1.45325,1.01318,0.62959,0.56239,0.57019,0.34503,1.30047,1.72957,1.3697,0.000250075,0.000250075,0.000250075
27,116.048,0.8736,1.48473,1.05951,0.58861,0.58868,0.57353,0.34951,1.28415,1.73369,1.36156,0.000202918,0.000202918,0.000202918
28,119.397,0.82997,1.47655,1.00929,0.63512,0.54983,0.57229,0.35121,1.27916,1.72238,1.35933,0.000155761,0.000155761,0.000155761
29,122.691,0.81181,1.4187,1.00846,0.60548,0.56294,0.57271,0.35554,1.27729,1.71774,1.35702,0.000108604,0.000108604,0.000108604
30,127.4,0.79809,1.37089,0.98975,0.54402,0.59411,0.56207,0.35639,1.26939,1.71005,1.34947,6.1447e-05,6.1447e-05,6.1447e-05
